x_end,y_end,z_end,qx_end,qy_end,qz_end,qw_end
0.069101654,0.323548989,0.069590772,-0.019104969,-0.987678421,0.037367977,0.150764847
0.069101654,0.333,0.069590772,-0.019104969,-0.987678421,0.037367977,0.150764847
0.098182,0.333,-0.003475,-0.019104969,-0.987678421,0.037367977,0.150764847
0.098182,0.3075,-0.003475,-0.019104969,-0.987678421,0.037367977,0.150764847
0.098182,0.333,-0.003475,-0.019104969,-0.987678421,0.037367977,0.150764847
0.054201,0.333,0.141779,-0.019104969,-0.987678421,0.037367977,0.150764847
0.054201,0.3075,0.141779,-0.019104969,-0.987678421,0.037367977,0.150764847
0.054201,0.333,0.141779,-0.019104969,-0.987678421,0.037367977,0.150764847
0.069101654,0.323548989,0.069590772,-0.019104969,-0.987678421,0.037367977,0.150764847
